,Unnamed: 0,timestamp,unique_id,orig_host,orig_port,resp_host,resp_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
13,13,1674143476.177754,CSOCkh3cSJBbMhBAv,192.168.137.190,58694,52.11.155.34,21,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,Mirai_DDoS
14,14,1674143471.925717,CQ0qeqB0iEUVR0Zq3,192.168.137.248,38960,8.8.8.8,53,udp,dns,0.214380,64,108,SF,T,F,0,Dd,2,120,2,164,-,Mirai_DDoS
15,15,1674143471.942802,CvmMNV7YmvuLWz72k,192.168.137.205,41902,192.168.137.1,53,udp,dns,0.132252,36,52,SF,T,T,0,Dd,1,64,1,80,-,Mirai_DDoS
16,16,1674143471.947328,CCvsJl2pwFIBhlVtBi,192.168.137.205,47126,192.168.137.1,53,udp,dns,0.131900,35,51,SF,T,T,0,Dd,1,63,1,79,-,Mirai_DDoS
17,17,1674143472.079834,CwWFcC1Fp25GeV8jM7,192.168.137.140,38786,192.168.137.1,53,udp,dns,0.157760,31,79,SF,T,T,0,Dd,1,59,1,107,-,Mirai_DDoS
18,18,1674143476.438317,C2OKl52DCKbr9KAE4g,192.168.137.129,64726,192.168.137.1,53,udp,dns,0.163413,58,184,SF,T,T,0,Dd,1,86,1,212,-,Mirai_DDoS
19,19,1674143476.438321,CxrYzl2mHlmfAxqnsc,192.168.137.129,54931,192.168.137.1,53,udp,dns,0.181643,58,114,SF,T,T,0,Dd,1,86,1,142,-,Mirai_DDoS
20,20,1674143476.475539,C2mQiWPfe3gSfyY3k,192.168.137.129,53487,192.168.137.1,53,udp,dns,0.157547,60,146,SF,T,T,0,Dd,1,88,1,174,-,Mirai_DDoS
21,21,1674143482.719723,C2ziGz4UKVT4e1ItNi,192.168.137.206,59662,18.161.18.21,443,tcp,-,0.179297,31,0,RSTR,T,F,0,DRr,2,135,1,40,-,Mirai_DDoS
22,22,1674143483.927247,CJ9Pjm37gxHvCIxeP2,192.168.137.163,40896,120.76.210.199,80,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,Mirai_DDoS
23,23,1674143484.201441,CPDgrh4NLLFGGKQ5p,192.168.137.190,58694,52.11.155.34,21,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,Mirai_DDoS
24,24,1674143479.229408,CKU7R32wh4SRSgW6tl,192.168.137.163,58167,192.168.137.1,53,udp,dns,0.132251,37,53,SF,T,T,0,Dd,1,65,1,81,-,Mirai_DDoS
25,25,1674143481.423835,CbvOof4E49PCOPVY89,192.168.137.100,40229,192.168.137.1,53,udp,dns,0.172886,33,49,SF,T,T,0,Dd,1,61,1,77,-,Mirai_DDoS
26,26,1674143467.277016,Cgy2Ll3RfRW8vimsae,192.168.137.254,37134,34.158.253.218,80,tcp,-,20.494794,22,22,RSTR,T,F,0,DAdTatrF,10,608,13,778,-,Mirai_DDoS
27,27,1674143482.06285,C0HNqd1dlbcjsLOGac,192.168.137.58,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,T,F,0,D,1,109,0,0,-,Mirai_DDoS
28,28,1674143482.075249,COVbIPD86gJLmACBg,fe80::72ee:50ff:fe68:e32,5353,ff02::fb,5353,udp,dns,-,-,-,S0,T,F,0,D,1,129,0,0,-,Mirai_DDoS
29,29,1674143461.66405,CCcZjA3zBTzmOxMqWj,192.168.137.206,42622,34.158.253.218,80,tcp,-,30.721971,33,33,RSTR,T,F,0,DAdTtarF,12,723,13,777,-,Mirai_DDoS
30,30,1674143483.155247,Cp7XW62ejiucZnoVhl,192.168.137.205,59117,192.168.137.1,53,udp,dns,0.132234,36,52,SF,T,T,0,Dd,1,64,1,80,-,Mirai_DDoS
31,31,1674143490.310632,CYHCY63h66g456TXX7,192.168.137.162,44374,192.168.137.248,8009,tcp,-,3.127435,0,0,S0,T,T,0,S,3,180,0,0,-,Mirai_DDoS
32,32,1674143485.801319,Cvt8jS3XimIN8CgVqe,fdcc:d8dd:e1af:26ab:f0d9:ad38:6cbf:32e6,5353,ff02::fb,5353,udp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,Mirai_DDoS
33,33,1674143491.582583,CATIIeuiYBGmctFC2,192.168.137.206,38458,54.209.44.8,443,tcp,-,0.000004,31,0,OTH,T,F,0,DR,2,135,0,0,-,Mirai_DDoS
34,34,1674143492.566025,C6M01K2jB3l0mWXBKi,192.168.137.206,42622,34.158.253.218,80,tcp,-,-,-,-,RSTRH,T,F,0,^r,0,0,1,40,-,Mirai_DDoS
35,35,1674143487.904042,CRvseM2HxZMGocFEQ9,192.168.137.205,36156,192.168.137.1,53,udp,dns,0.131972,35,51,SF,T,T,0,Dd,1,63,1,79,-,Mirai_DDoS
36,36,1674143488.927414,CjE3vm3cvV7DBeJfh2,192.168.137.248,38915,8.8.8.8,53,udp,dns,0.169860,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
37,37,1674143489.159925,CbTg1RlnhrD77hrgj,fe80::3363:f518:706:7ecf,5353,ff02::fb,5353,udp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,Mirai_DDoS
38,38,1674143489.879678,CM2M1l12bP1x29l18l,192.168.137.248,51941,192.168.137.1,53,udp,dns,0.195722,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
39,39,1674143490.716719,CsgWvM3wv6gUix49cj,192.168.137.248,51873,8.8.8.8,53,udp,dns,0.183143,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
40,40,1674143495.536606,CrLqGo3asBmYqRIsBb,192.168.137.254,37134,34.158.253.218,80,tcp,-,0.180123,11,0,RSTR,T,F,0,Fr,1,63,1,40,-,Mirai_DDoS
41,41,1674143491.312433,CjLjhS3BpCRAGMsbjf,192.168.137.206,24786,8.8.8.8,53,udp,dns,0.182442,49,146,SF,T,F,0,Dd,1,77,1,174,-,Mirai_DDoS
42,42,1674143491.312437,CFXK1t2PxtDeqZcfp9,192.168.137.206,8042,8.8.8.8,53,udp,dns,0.212205,49,146,SF,T,F,0,Dd,1,77,1,174,-,Mirai_DDoS
43,43,1674143492.130077,Cw0I3F19yWnRVBKMq3,192.168.137.248,38749,192.168.137.1,53,udp,dns,0.133479,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
44,44,1674143497.314309,C7Rc9T2NrSQ098cGdg,192.168.137.162,44374,192.168.137.248,8009,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-,Mirai_DDoS
45,45,1674143492.680116,C2uIsL1nvzAEufZXdh,192.168.137.248,56770,8.8.8.8,53,udp,dns,0.169481,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
46,46,1674143494.119206,CHv8Fq2Gl2N0W4wj4j,192.168.137.248,49861,192.168.137.1,53,udp,dns,0.133375,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
47,47,1674143494.724997,Cu3dYF3lrc8NCTWSVk,192.168.137.248,41953,8.8.8.8,53,udp,dns,0.191199,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
48,48,1674143499.933183,CAgJik5BzklBaPe4k,192.168.137.162,44376,192.168.137.248,8009,tcp,-,3.594868,0,0,S0,T,T,0,S,3,180,0,0,-,Mirai_DDoS
49,49,1674143500.232764,CzlrzV8aImwZpW5gb,192.168.137.190,58694,52.11.155.34,21,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,Mirai_DDoS
50,50,1674143500.11343,CFzPWvs5D2iQA3qYg,192.168.137.206,42622,34.158.253.218,80,tcp,-,0.179965,11,0,RSTR,T,F,0,Fr,1,63,1,40,-,Mirai_DDoS
51,51,1674143495.677692,CqQgZx4bydxB5WOG5c,192.168.137.248,45516,192.168.137.1,53,udp,dns,0.133591,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
52,52,1674143496.668591,CbR9A62xkD9Miy6A59,192.168.137.248,54252,8.8.8.8,53,udp,dns,0.182993,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
53,53,1674143487.256424,CXBy6W1fvpJZLObbs1,192.168.137.206,23022,192.168.137.1,53,udp,dns,9.196819,98,327,SF,T,T,0,Dd,2,154,2,383,-,Mirai_DDoS
54,54,1674143487.256422,CknpGz3O5UEnm2Avkl,192.168.137.206,29307,192.168.137.1,53,udp,dns,9.195962,98,327,SF,T,T,0,Dd,2,154,2,383,-,Mirai_DDoS
55,55,1674143487.576343,Ca6DzU14JAOOsNPio2,192.168.137.254,11897,192.168.137.1,53,udp,dns,8.092237,78,110,SF,T,T,0,Dd,2,134,2,166,-,Mirai_DDoS
56,56,1674143497.874895,CC8Xf839WFk6Cgt9Mf,192.168.137.248,47371,192.168.137.1,53,udp,dns,0.137339,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
57,57,1674143467.091444,ClgzBB3qUeH9iHjXa9,192.168.137.196,63653,3.12.33.198,1883,tcp,mqtt,35.826344,142,4,RSTR,T,F,0,DaAdTFr,8,669,9,364,-,Mirai_DDoS
58,58,1674143499.421281,CxQAjL1AGHV61p6Fr9,192.168.137.248,44460,8.8.8.8,53,udp,dns,0.169595,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
59,59,1674143500.321458,CnrWpH3jV0BXta5ac8,192.168.137.248,35321,192.168.137.1,53,udp,dns,0.133628,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
60,60,1674143490.535728,COoQE14qo5PZygYwn3,192.168.137.254,12104,8.8.8.8,53,udp,dns,6.316625,78,110,SF,T,F,0,Dd,2,134,2,166,-,Mirai_DDoS
61,61,1674143465.800993,CRRIrS3VVvSt4qCbri,192.168.137.254,42398,18.161.22.70,443,tcp,-,40.250856,1084,615505,SF,T,F,0,DAdcccTtatFf,170,11891,110,139455,-,Mirai_DDoS
62,62,1674143501.558287,CQBIUb3QLsHjJBuDqd,192.168.137.248,44835,8.8.8.8,53,udp,dns,0.169401,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
63,63,1674143501.852865,CibhKi4PkTCmgWPZ2b,192.168.137.206,24786,8.8.8.8,53,udp,dns,0.154910,49,146,SF,T,F,0,Dd,1,77,1,174,-,Mirai_DDoS
64,64,1674143501.852868,CL02m3BPNVL7xCz8,192.168.137.206,8042,8.8.8.8,53,udp,dns,0.154960,49,146,SF,T,F,0,Dd,1,77,1,174,-,Mirai_DDoS
65,65,1674143502.133655,Cm73ox2TowDojDeafd,fe80::3363:f518:706:7ecf,5353,ff02::fb,5353,udp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,Mirai_DDoS
66,66,1674143507.320123,CTXX9C4ziJqB1hBpoh,192.168.137.162,44376,192.168.137.248,8009,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-,Mirai_DDoS
67,67,1674143492.386024,C1DRrNvtdyaRNUj3a,192.168.137.206,31204,192.168.137.1,53,udp,dns,9.844817,64,252,SF,T,T,0,Dd,2,120,2,308,-,Mirai_DDoS
68,68,1674143502.432313,CbOUH94kBZXMa34l74,192.168.137.248,42028,192.168.137.1,53,udp,dns,0.133703,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
69,69,1674143503.346922,CvYoPv2XWWJNanq4L7,192.168.137.248,60368,8.8.8.8,53,udp,dns,0.183075,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
70,70,1674143479.345406,CrE2zV2oRdij3bHbLa,192.168.137.186,50413,52.21.140.111,443,tcp,-,29.983332,1,0,OTH,T,F,0,AaR,4,160,3,120,-,Mirai_DDoS
71,71,1674143504.331061,C5Bo204IiEpoObwl1b,192.168.137.248,59645,192.168.137.1,53,udp,dns,0.133378,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
72,72,1674143463.252598,CfPI047UcnsAhMJBe,192.168.137.174,58916,34.158.253.218,4070,tcp,-,47.029469,33,33,RSTR,T,F,0,DAdTatFr,11,671,13,801,-,Mirai_DDoS
73,73,1674143505.378562,Crjc2i2qoXFjzASgX1,192.168.137.248,55581,8.8.8.8,53,udp,dns,0.183736,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
74,74,1674143506.349242,CSLcZk3GouN8I8A2Z5,192.168.137.248,44486,192.168.137.1,53,udp,dns,0.133412,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
75,75,1674143506.761621,Cfnof11Zgt144z2nOk,192.168.137.206,15730,192.168.137.1,53,udp,dns,0.130973,60,60,SF,T,T,0,Dd,1,88,1,88,-,Mirai_DDoS
76,76,1674143506.803962,CWjH6W23f2raDSz4fa,192.168.137.205,36910,192.168.137.1,53,udp,dns,0.132058,36,52,SF,T,T,0,Dd,1,64,1,80,-,Mirai_DDoS
77,77,1674143512.022692,CLrIlcVw8POxafW6h,192.168.137.254,37134,34.158.253.218,80,tcp,-,-,-,-,SH,T,F,0,F,1,63,0,0,-,Mirai_DDoS
78,78,1674143512.032616,CwUn2S1WC8poQOsAGh,192.168.137.140,55018,100.20.212.253,8883,tcp,-,-,-,-,SH,T,F,0,F,1,121,0,0,-,Mirai_DDoS
79,79,1674143497.236812,Cma8Dq3W3chFukzLdj,192.168.137.206,16153,8.8.8.8,53,udp,dns,9.941702,64,252,SF,T,F,0,Dd,2,120,2,308,-,Mirai_DDoS
80,80,1674143507.348825,COmIaT2FAiW7nRGQvh,192.168.137.248,60755,8.8.8.8,53,udp,dns,0.183437,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
81,81,1674143513.171694,CnHTn5zKqlzrrhmTb,192.168.137.254,42398,18.161.22.70,443,tcp,-,0.178547,31,0,SH,T,F,0,Fa,1,103,1,64,-,Mirai_DDoS
82,82,1674143508.958349,C8CSdP3iGr6rPGi1Kb,192.168.137.184,46385,192.168.137.1,53,udp,dns,0.162773,38,54,SF,T,T,0,Dd,1,66,1,82,-,Mirai_DDoS
83,83,1674143508.994507,CWQ6al23FG7XAVXGp8,192.168.137.184,46327,192.168.137.1,53,udp,dns,0.131756,38,54,SF,T,T,0,Dd,1,66,1,82,-,Mirai_DDoS
84,84,1674143509.269628,Cv7twk4hvYK6erbjV5,192.168.137.174,18992,8.8.8.8,53,udp,dns,0.169367,37,102,SF,T,F,0,Dd,1,65,1,130,-,Mirai_DDoS
85,85,1674143513.459903,CIcZopyzanmzZp9n5,192.168.137.103,57518,34.247.224.136,443,tcp,ssl,0.947560,2373,6193,SF,T,F,8213,SADhgacCFdGf,13,1038,7,601,-,Mirai_DDoS
86,86,1674143509.827753,CKGgLw3EES8FWwdQd5,192.168.137.17,43278,192.168.137.1,53,udp,dns,0.164353,92,238,SF,T,T,0,Dd,2,148,2,294,-,Mirai_DDoS
87,87,1674143509.934787,Cga4BN1unWvPZHuxkd,192.168.137.248,45334,8.8.8.8,53,udp,dns,0.183523,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
88,88,1674143500.750025,CaY9ZL2HeRsS9deEji,192.168.137.254,14713,192.168.137.1,53,udp,dns,4.929216,78,110,SF,T,T,0,Dd,2,134,2,166,-,Mirai_DDoS
89,89,1674143510.937772,C1AYPb1GD4R8Q2wSO6,192.168.137.248,55647,192.168.137.1,53,udp,dns,0.133703,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
90,90,1674143510.947054,CRufSbb3onqkIyRMg,192.168.137.205,50283,192.168.137.1,53,udp,dns,0.131674,35,51,SF,T,T,0,Dd,1,63,1,79,-,Mirai_DDoS
91,91,1674143461.594164,CGxoD93NqBNwFar5m5,192.168.137.205,16480,3.221.182.58,32100,udp,-,0.205575,4,20,SF,T,F,0,Dd,1,32,1,48,-,Mirai_DDoS
92,92,1674143461.594163,CBHdGP24ESQjFFhCG,192.168.137.205,16480,18.182.200.45,32100,udp,-,0.315357,4,20,SF,T,F,0,Dd,1,32,1,48,-,Mirai_DDoS
93,93,1674143511.946904,Cj0Nik1S9mKWVTxEwi,192.168.137.248,38178,8.8.8.8,53,udp,dns,0.183024,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
94,94,1674143461.594162,CAEKWK4mX2nmwqIK1,192.168.137.205,16480,47.112.162.49,32100,udp,-,0.467592,4,20,SF,T,F,0,Dd,1,32,1,48,-,Mirai_DDoS
95,95,1674143502.596238,CKnkrO53xS40emeg,192.168.137.254,19686,8.8.8.8,53,udp,dns,6.110242,78,110,SF,T,F,0,Dd,2,134,2,166,-,Mirai_DDoS
96,96,1674143502.603071,CwUnCL3NySfDd1t7Zc,192.168.137.129,51640,192.168.137.1,53,udp,dns,3.346237,76,176,SF,T,T,0,Dd,2,132,2,232,-,Mirai_DDoS
97,97,1674143502.604551,C5c6qwLoeTbX7ZuM6,192.168.137.129,54669,192.168.137.1,53,udp,dns,7.258422,264,516,SF,T,T,0,Dd,3,348,3,600,-,Mirai_DDoS
98,98,1674143502.744468,CnuGRP2NqfaWF3DeY5,192.168.137.68,43483,192.168.137.1,53,udp,dns,5.151077,184,476,SF,T,T,0,Dd,4,296,4,588,-,Mirai_DDoS
99,99,1674143502.744956,CTfFxx2hLlHaUV7cPi,192.168.137.196,51373,192.168.137.1,53,udp,dns,3.218634,156,509,SF,T,T,0,Dd,4,268,4,621,-,Mirai_DDoS
100,100,1674143512.952421,C9LKIK3j1Bds9fZ2rj,192.168.137.248,45336,192.168.137.1,53,udp,dns,0.133205,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
101,101,1674143463.03305,CGfSVB1yuczIKdSgg1,192.168.137.205,34903,10.0.0.1,123,udp,ntp,-,-,-,S0,T,T,0,D,1,76,0,0,-,Mirai_DDoS
102,102,1674143513.375546,Clcgz44scHXZc2qF37,192.168.137.103,38476,8.8.8.8,53,udp,dns,0.169375,30,232,SF,T,F,0,Dd,1,58,1,260,-,Mirai_DDoS
103,103,1674143513.375549,CzhzNJ27C0nzzYuzN,192.168.137.103,38476,8.8.4.4,53,udp,dns,0.187773,30,232,SF,T,F,0,Dd,1,58,1,260,-,Mirai_DDoS
104,104,1674143513.375551,C2v1eV2OARIsYBOHVj,192.168.137.103,38476,192.168.137.1,53,udp,dns,0.192195,30,232,SF,T,T,0,Dd,1,58,1,260,-,Mirai_DDoS
105,105,1674143513.417988,Ck8O35yDfq7Mtz0tc,192.168.137.103,33686,8.8.8.8,53,udp,dns,0.169993,30,186,SF,T,F,0,Dd,1,58,1,214,-,Mirai_DDoS
106,106,1674143503.574969,CThdRk1rIpMFkiXGJ4,192.168.137.42,36479,8.208.8.243,53,udp,dns,2.729635,70,1022,SF,T,F,0,Dd,2,126,2,1078,-,Mirai_DDoS
107,107,1674143503.574964,CVyyki2vYi53AOkJgj,192.168.137.42,36479,192.168.137.1,53,udp,dns,2.642908,70,102,SF,T,T,0,Dd,2,126,2,158,-,Mirai_DDoS
108,108,1674143503.574967,CbAn9m1auKtIkTLBw,192.168.137.42,36479,8.8.8.8,53,udp,dns,2.666022,70,102,SF,T,F,0,Dd,2,126,2,158,-,Mirai_DDoS
109,109,1674143507.629826,CxPTFc2NgAcmgvRXge,192.168.137.129,54772,3.139.17.241,443,tcp,-,11.057101,24,24,SF,T,F,0,^dtADFfaT,7,588,14,1152,-,Mirai_DDoS
110,110,1674143513.944054,CdT6ug44LHMZeyQAO9,192.168.137.248,59231,8.8.8.8,53,udp,dns,0.212400,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
111,111,1674143464.08311,CX66sS3JmuxsJtgSP1,192.168.137.248,10101,239.255.255.251,10101,udp,-,-,-,-,S0,T,F,0,D,1,73,0,0,-,Mirai_DDoS
112,112,1674143464.083121,CHQgeb1B4nVqKdkYz1,192.168.137.248,10101,224.0.0.250,10101,udp,-,-,-,-,S0,T,F,0,D,1,73,0,0,-,Mirai_DDoS
113,113,1674143514.915917,CgdY2w3N9rr0XoZ804,192.168.137.248,37581,8.8.8.8,53,udp,dns,0.190435,47,63,SF,T,F,0,Dd,1,75,1,91,-,Mirai_DDoS
114,114,1674143519.800269,Co0aUp2oddiynEci3d,192.168.137.174,58916,34.158.253.218,4070,tcp,-,0.179488,11,0,RSTR,T,F,0,Fr,1,63,1,40,-,Mirai_DDoS
115,115,1674143514.98134,CcLqmD4kyPPskNH5di,192.168.137.248,49371,192.168.137.1,53,udp,dns,0.133587,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
116,116,1674143505.692365,CHSWbvM43kl2nTLEh,192.168.137.209,50290,192.168.137.1,53,udp,dns,5.324678,92,495,SF,T,T,0,Dd,2,148,2,551,-,Mirai_DDoS
117,117,1674143515.88931,C0aKKC1gMQdclCeK77,192.168.137.248,36145,192.168.137.1,53,udp,dns,0.163293,47,63,SF,T,T,0,Dd,1,75,1,91,-,Mirai_DDoS
118,118,1674143505.895042,CdqK3G4KtbP5J81amb,192.168.137.254,2260,192.168.137.1,53,udp,dns,6.259908,94,222,SF,T,T,0,Dd,2,150,2,278,-,Mirai_DDoS
119,119,1674143516.076802,C77xNm2Zjkj9oaqfRd,192.168.137.248,51956,8.8.8.8,53,udp,dns,0.169618,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
120,120,1674143516.080967,C5Phca1BElSNAHm9Tg,192.168.137.254,24818,8.8.8.8,53,udp,dns,0.179377,39,67,SF,T,F,0,Dd,1,67,1,95,-,Mirai_DDoS
121,121,1674143521.184015,Ck77zO2yffvrL5ntmk,192.168.137.162,44378,192.168.137.248,8009,tcp,-,2.458122,0,0,S0,T,T,0,S,3,180,0,0,-,Mirai_DDoS
122,122,1674143516.896625,CFjnGd44mpkNf9OG0g,192.168.137.248,56227,8.8.8.8,53,udp,dns,0.184124,47,63,SF,T,F,0,Dd,1,75,1,91,-,Mirai_DDoS
123,123,1674143517.176029,CTY9qe4TgeIQGUwfFj,192.168.137.205,57829,192.168.137.1,53,udp,dns,0.132232,35,51,SF,T,T,0,Dd,1,63,1,79,-,Mirai_DDoS
124,124,1674143517.223414,CadRK92RGim88bS6Ci,192.168.137.248,56109,192.168.137.1,53,udp,dns,0.133495,66,242,SF,T,T,0,Dd,2,122,2,298,-,Mirai_DDoS
125,125,1674143484.595095,C7Qf5j3O6VOlTPz9Mi,192.168.137.181,49573,34.211.189.2,8886,tcp,-,38.140952,69,69,OTH,T,F,0,DdtTaR,6,585,10,814,-,Mirai_DDoS
126,126,1674143517.958109,CiECrN1lhs9tU1SRs8,192.168.137.248,53028,192.168.137.1,53,udp,dns,0.161547,47,63,SF,T,T,0,Dd,1,75,1,91,-,Mirai_DDoS
127,127,1674143517.958155,CV9iLf2jYD3a4maIGf,192.168.137.248,37695,8.8.8.8,53,udp,dns,0.197628,66,242,SF,T,F,0,Dd,2,122,2,298,-,Mirai_DDoS
128,128,1674143518.044268,CcDHKOrRQ3n1cJnyb,192.168.137.77,5353,224.0.0.251,5353,udp,dns,0.025940,182,0,S0,T,F,0,D,2,238,0,0,-,Mirai_DDoS
129,129,1674143518.064334,CgfvsTV06cLTmJdyd,fe80::3223:3ff:fef3:842b,5353,ff02::fb,5353,udp,dns,0.021610,182,0,S0,T,F,0,D,2,278,0,0,-,Mirai_DDoS
130,130,1674143518.138273,CEBpQJDXXPmZk4bkh,fe80::3363:f518:706:7ecf,5353,ff02::fb,5353,udp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,Mirai_DDoS
131,131,1674143508.387007,Ce0t4x3Q1Q0Xocwev6,192.168.137.68,59861,192.168.137.1,53,udp,dns,5.228663,88,248,SF,T,T,0,Dd,2,144,2,304,-,Mirai_DDoS
132,132,1674143508.975172,CZmuG731h54p6f555,192.168.137.254,6955,8.8.8.8,53,udp,dns,7.273117,94,222,SF,T,F,0,Dd,2,150,2,278,-,Mirai_DDoS
133,133,1674143519.800273,CfMLqZ2pPm0ZeoVNd4,192.168.137.174,14691,8.8.8.8,53,udp,dns,0.169829,37,53,SF,T,F,0,Dd,1,65,1,81,-,Mirai_DDoS
134,134,1674143510.021098,Cpkord4kwPqeQBAci7,192.168.137.186,53368,192.168.137.1,53,udp,dns,4.169373,192,384,SF,T,T,0,Dd,4,304,4,496,-,Mirai_DDoS
135,135,1674143520.035471,C2l5CF1KgDPJ6ZHIB5,192.168.137.186,23591,1.1.1.1,53,udp,dns,0.184054,60,188,SF,T,F,0,Dd,1,88,1,216,-,Mirai_DDoS
136,136,1674143470.052748,CCi87O2lFZASaRyVt1,192.168.137.205,45844,10.0.0.1,123,udp,ntp,-,-,-,S0,T,T,0,D,1,76,0,0,-,Mirai_DDoS
137,137,1674143461.831345,Cdg7Tz2WiyuQoR1rNc,192.168.137.248,8,192.168.137.1,0,icmp,-,8.329809,504,0,OTH,T,T,0,-,9,756,0,0,-,Mirai_DDoS
